     1219 8411630 6101South Afr545442554424444124545443224244244442444144454424544444424454255442225225554234344245215444245442445244544423445244424154
    4722240392030 6101USA      525143252444514234331541352222434244343523435134244351443232445244242244442324223341134442434244242325444324244452434242
    4822724452030 6101USA      545444244442544444442444453443543234244352444442442234444343535244334242445432522334452444535244343222554523443144242244
    49230 5472030 6101Canada   552343225531354222354435244444444444445531554342443323543253455443435423244341543333414533434343435433455422552235443144
    5021646492030 6101USA      544535115144544321341415151111521245115143444121115115153151422345135153152511412315153535511355112141554515115145151341
    5115330582030 6101USA      415242355554343425554553511553334354255514554323542451543454235141345544552355554251235545425155255514542324454152215344
    5216240 12130 6101USA      244452145434334132554342312445353452235424344222434252413145141441435425445222554252314434143451335225444222442245313225
    53217 1 62130 6101Albania  533343153555555352555433554323422454343244044451354353553244544343324535345552543343544343545453354355355412553235454124
    5521934122130 6101USA      553455514555554251155241505133553355521335332243155231543334354235313535433341253331534323532354413525333233253233543234
    5613748162130 6101USA      435352354513345333441354313545145442235412455233552352514245245352345414355243551152415545325442455415355232551255514245
    5724017202130 6101USA      545343155153554434345352343551544444435144555434543253453551554333325153555131555253244021524333155133353224554253232331
    5811354212130 6101Japan    511445134302435543543224422302414445125243444532344335223244422435124343435542242335243344420435224442445515232224223345
    5911730282130 6101USA      423042334534245343454432333434434452335434444533433434333243232332233534342433443233433543324332333433124434453233332233
    60117 1342130 6101USA      324541125452445522344233512225215402135522555512554252542234115331125432554331552142413245215432114324555522452255115235
    6112210342130 6101USA      335235240454144233133451413341535345241424410232144442324111235135341444311333124442201551505145133524134215124552221541
    62219 7442130 6101USA      454444242225244144544542223542255443444124224232244452455434245444414225244244521242214522245554423225244123542552224432
    6414828462130 6101USA      413443244444223432444351421335222342245432225423544234332325142342245543545433555144423435320433355533444322553255423235
    6522421472130 6101USA      533453244444345453452453443444341454235324455343252243544455234243425324455233352153224455434344355223435542352155333235
    66227 2502130 6101Australia534245413552555421242345452443524425435451555522232235344242545445255552455522533245253452515245235452555423432235552242
